,Initial Comp.,,,,,,MC/MD comp.,,,,,MC/MD adsorption,,,,,Disorder
#,Co,Ni,Cr,Fe,Mn,Temp,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,
,,,,,,1300,0.3161366,0.1077098,0.1749218,0.2166966,0.1845352,-0.06360012,-0.02613,0.09301602,-0.05817662,0.0548871,0.4613838
15,0.2,0.1,0.3,0.2,0.2,1000,0.2535322,0.106192,0.1993692,0.263062,0.1778444,-0.241355,-0.02415,0.4560076,-0.2830126,0.09250752,0.4879088
,,,,,,1100,0.2393054,0.105435,0.2281454,0.2468498,0.1802646,-0.1554942,-0.01697,0.2864878,-0.1896848,0.07566374,0.4276366
,,,,,,1200,0.2316976,0.1068046,0.2425976,0.2377872,0.181113,-0.1274916,-0.03282,0.2378152,-0.1545576,0.07705836,0.479804
,,,,,,1300,0.2179138,0.1066768,0.265683,0.2263464,0.1833794,-0.0578205,-0.02044,0.1115189,-0.08811572,0.05485406,0.4669124
16,0.2,0.1,0.2,0.3,0.2,1000,0.2379362,0.1049074,0.1180104,0.3673474,0.1717984,-0.152873,-0.01831,0.3389674,-0.2767122,0.10892924,0.4736298
,,,,,,1100,0.230206,0.1029229,0.1372988,0.3539668,0.1756056,-0.1142175,-0.01068,0.2423168,-0.2100366,0.092621,0.4553916
,,,,,,1200,0.2201372,0.1044924,0.1597936,0.3347784,0.1807984,-0.07515306,-0.01441,0.1562352,-0.1399134,0.0732456,0.4553326
,,,,,,1300,0.2120592,0.1053866,0.1746452,0.3261326,0.181777,-0.04445916,-0.01772,0.09760866,-0.1059628,0.0705303,0.4542532
17,0.2,0.1,0.2,0.2,0.3,1000,0.218393,0.1081548,0.1589028,0.2288746,0.2856748,-0.07680046,-0.0233,0.1638764,-0.1174428,0.0536698,0.4374728
,,,,,,1100,0.2141332,0.1053492,0.1692958,0.2284434,0.2827786,-0.04694064,-0.01846,0.11192566,-0.10905924,0.06253884,0.482075
,,,,,,1200,0.2080682,0.1072246,0.1804528,0.2179396,0.286315,-0.031605992,-0.02626,0.07791454,-0.07291674,0.05287308,0.4357378
