,Initial Comp.,,,,,,MC/MD comp.,,,,,MC/MD adsorption,,,,,Disorder,Gamma_sum,MC/MD comp. std,,,,,MC/MD adsorption std,,,,,Disorder std,V_tot,V_free,difference,,,,
#,Co,Ni,Cr,Fe,Mn,Temp,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,,,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,,,,Co,Ni,Cr,Fe,Mn
,,,,,,1200,0.1060066,0.2111132,0.2780226,0.2153062,0.1895512,-0.023576608,-0.04108,0.08203654,-0.05652538,0.0391449,0.4277,-0.000000068000,0.003578024,0.002879645,0.005245541,0.003439609,0.002055037,0.021564788,0.011191757,0.02677656,0.011244769,0.014332279,0.009201177,12.3957,-0.08429076,-0.037184792,0.04108,0.043375922,-0.02913887,-0.01042698
,,,,,,1300,0.1035244,0.2110764,0.2824476,0.2146938,0.1882576,-0.016514029,-0.04342,0.0848894,-0.06857602,0.043622658,0.4122178,-0.000000011200,0.002492025,0.003700453,0.008523178,0.005632297,0.003709462,0.017954554,0.01900837,0.042989763,0.026385213,0.021937376,0.012915399,12.449752,-0.013943722,-0.003520102,0.04342,-0.052781282,0.046644246,-0.029337451
8,0.1,0.2,0.2,0.3,0.2,1000,0.1151284,0.2104544,0.1425656,0.3541176,0.177734,-0.04763534,-0.03376,0.1920438,-0.1910834,0.08043718,0.420203,0.000000180000,0.001983061,0.002233343,0.004919598,0.005107456,0.002678114,0.01074456,0.011817154,0.016746926,0.010257003,0.009122659,0.010723396,12.270377,0.220866786,-0.071850166,0.03376,0.075433842,0.008380092,-0.034833311
,,,,,,1100,0.1110582,0.2076576,0.1605818,0.3376164,0.183086,-0.0357402,-0.01944,0.12372354,-0.12784018,0.0592973,0.4178152,-0.000000058000,0.003383018,0.001338591,0.004268397,0.002444442,0.002309947,0.015053178,0.011782506,0.029636058,0.022761459,0.016597049,0.013161833,12.326639,-0.071494506,-0.048486278,0.01944,0.060195351,0.002212522,-0.024738674
,,,,,,1200,0.1086398,0.2086842,0.1695126,0.3305836,0.1825802,-0.026234346,-0.02878,0.1043074,-0.10562028,0.05633032,0.4451288,-0.000000126000,0.002564606,0.002022873,0.004345669,0.004565372,0.002209362,0.016955331,0.008490556,0.01864549,0.019699791,0.001234377,0.009098668,12.379938,-0.155987219,-0.048156376,0.02878,0.049236191,0.000740778,-0.021170716
,,,,,,1300,0.1054226,0.208163,0.1794886,0.3209792,0.1859468,-0.0214295,-0.02697,0.08671504,-0.08623306,0.04791604,0.4292594,0.000000080000,0.002311837,0.002746735,0.003815695,0.003370354,0.002121955,0.009702768,0.011822518,0.017919665,0.017745262,0.005643219,0.00976305,12.442376,0.099539008,-0.004092027,0.02697,-0.045812434,0.058294122,-0.029718082
9,0.1,0.2,0.2,0.2,0.3,1000,0.108191,0.209298,0.1718488,0.2213484,0.2893142,-0.03210446,-0.03217,0.115021,-0.08983172,0.03908138,0.3954274,0.000000020000,0.001525072,0.004533011,0.003041918,0.001638698,0.001750714,0.008377765,0.020667907,0.02271393,0.013856579,0.005713171,0.016013258,12.31781,0.02463562,-0.045212975,0.03217,0.05806012,-0.028393089,-0.009571741
,,,,,,1100,0.103936,0.2093366,0.1805956,0.2155582,0.2905738,-0.007058735,-0.03476,0.07138998,-0.06211644,0.0325406,0.385946,0.000000005400,0.001806374,0.001679897,0.001622876,0.002440459,0.001287407,0.008676024,0.010438557,0.011677625,0.013950772,0.014696217,0.013475378,12.378102,0.006684175,-0.037586197,0.03476,0.026097729,-0.004473525,-0.014222518
,,,,,,1200,0.1046302,0.2108276,0.17846,0.217141,0.2889412,-0.016500304,-0.04091,0.08796412,-0.07053946,0.0399836,0.41061,-0.000000044000,0.002067777,0.002498288,0.003201634,0.003017616,0.000947295,0.009546476,0.010128152,0.013775054,0.007734517,0.015030811,0.010775665,12.439236,-0.054732638,-0.030896716,0.04091,0.009864057,0.003716935,-0.017582144
,,,,,,1300,0.1017354,0.210914,0.1854504,0.2141674,0.2877326,-0.007024568,-0.03568,0.05237328,-0.0527604,0.04309146,0.4585446,0.000000072000,0.001486453,0.002973278,0.001924751,0.001954629,0.002735421,0.013125135,0.01560118,0.010185881,0.012907619,0.018405173,0.007883915,12.504953,0.090035662,-0.027926793,0.03568,0.003642246,0.014498429,-0.01816962
